country,farm,lot_number,mill,company,altitude,year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,overall,category_one_defects,color,category_two_defects
Ethiopia,TADE GG,010/0296/600,Moledo社　委託精選場,"Marubeni corp.,",1800-2200,2021 / 2022,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,10,10,10,8,0,greenish,1
Guatemala,Karen Acajabon Coffee Farm,"The 2022 Pacific Rim Coffee Summit,GT12",Cafetoland,Taiwan Coffee Laboratory,2000,2021,Natural / Dry,8.08,8,8,7.75,8.25,8.17,10,10,10,8,0,brownish,1
Taiwan,古峰咖啡莊園 Goodfun Coffee Farm,"The 2022 Pacific Rim Coffee Summit,T051",古峰咖啡莊園,Taiwan Coffee Laboratory,1250,2021 / 2022,Washed / Wet,8.08,8,8.08,8.08,8,8,10,10,10,8,0,green,0
Ethiopia,Gelana Geisha,"Grade 1, Guji, Natural, Gelana Geisha",Dry Mill or Hulling Facility,Kerchanshe Trading PLC,1900-2000,2021 / 2022,Natural / Dry,7.67,8.17,8,8.33,8,8,10,10,10,8,0,yellow- green,2
Colombia,La Gaitania,"The 2022 Pacific Rim Coffee Summit,CO03",La Gaitania,Taiwan Coffee Laboratory,1850,2021 / 2022,Washed / Wet,8.08,8,8.08,7.92,8.08,8,10,10,10,8,0,green,0
Taiwan,青葉咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T014",青葉咖啡莊園,Taiwan Coffee Laboratory,1100,2021 / 2022,Pulped natural / honey,8.17,8.08,8,7.92,8,7.92,10,10,10,8,0,green,0
Ethiopia,Halo Bariti Cooprative,CQU2023006,Halo Bariti Cooprative,Coffee Quality Union,1900-2100,2022,Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10,10,10,8.08,0,green,2
Taiwan,東璧咖啡莊園,202203,yes,Dongbi coffee,1300,2022,Natural / Dry,8,8.17,8,7.92,7.92,7.92,10,10,10,8.17,0,yellow-green,0
Taiwan,櫻桃果古坑咖啡莊園,202112,yes,宸嶧國際有限公司,1200,2021 / 2022,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,10,10,10,8.17,0,brownish,1
"Tanzania, United Republic Of",BURKA,CN 4127230032/P-9140,GOURMET COFFEE MILL,DORMAN (T) LIMITED,1570-1600,2022 / 2023,Washed / Wet,8.17,8,7.92,7.92,8.17,7.75,10,10,10,7.92,0,greenish,0
Guatemala,Finca Vista Hermosa,"The 2022 Pacific Rim Coffee Summit,GT03",El Vergel,Taiwan Coffee Laboratory,1900,2021 / 2022,Natural / Dry,8,7.92,8.08,7.92,7.75,8,10,10,10,8.08,0,yellowish,0
Taiwan,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,2022/03,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,Taiwan Coffee Laboratory,850,2022,Natural / Dry,8.08,8,7.92,7.92,8,7.83,10,10,10,7.92,0,green,0
Thailand,Hom Doi,1,Machines to peel outer skin of the cherry coffee and coffee is dried manually,Lyrose,1500-1700,2021 / 2022,Pulped natural / honey,7.67,8,7.83,8,8.08,8,10,10,10,8.08,0,browish-green,5
Colombia,El Diamante,CQU2023005,El Diamante,Coffee Quality Union,1350,2022,NA,8.08,8,7.83,8.17,7.75,7.83,10,10,10,8,0,brownish,2
Taiwan,永舜咖啡莊園,"The 2022 Pacific Rim Coffee Summit, T003",永舜咖啡莊園,Taiwan Coffee Laboratory,1250,2021 / 2022,Washed / Wet,7.83,8,7.92,8,8,7.92,10,10,10,7.92,0,bluish-green,0
Brazil,Fazenda Recreio,Arara 1,Dry mill,"WIT wealth, investments & trust",1250,2022,Pulped natural / honey,7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,2,green,3
Taiwan,鄒築園ZouZhouYuan,"The 2022 Pacific Rim Coffee Summit,T024",鄒築園ZouZhouYuan,Taiwan Coffee Laboratory,1300,2021 / 2022,Natural / Dry,7.92,7.92,8,7.92,7.83,7.92,10,10,10,8,0,green,2
Taiwan,嵩岳咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T048",嵩岳咖啡莊園,Taiwan Coffee Laboratory,1200,2021 / 2022,Natural / Dry,8.17,8.08,7.92,8,7.58,7.83,10,10,10,7.92,0,green,0
Taiwan,他扶芽有機農園,"The 2022 Pacific Rim Coffee Summit,T045",他扶芽有機農園,Taiwan Coffee Laboratory,1060,2021 / 2022,Natural / Dry,8,8,8,7.92,7.75,7.92,10,10,10,7.92,0,blue-green,0
United States (Hawaii),Hokukano Ranch,"The 2022 Pacific Rim Coffee Summit,US01",Kona Coffee & Tea,Taiwan Coffee Laboratory,600,2021 / 2022,Washed / Wet,8,7.92,8,7.83,7.67,8,10,10,10,8,0,green,0
Taiwan,鄉庭有機農場Siang-Ting Organic Farm,2022/3/1(老叢),鄉庭有機農場Siang-Ting Organic Farm,Taiwan Coffee Laboratory,150-250,2022,Washed / Wet,8,8,7.83,7.83,7.75,7.92,10,10,10,8.08,0,bluish-green,0
Taiwan,鄉庭有機農場Siang-Ting Organic Farm,2022/02,鄉庭有機農場Siang-Ting Organic Farm,Taiwan Coffee Laboratory,150-250,2022,Washed / Wet,7.92,8,7.83,7.92,7.83,7.83,10,10,10,8,0,green,0
Taiwan,金讚咖啡農莊園(Jinzan Coffee Estate),2022臺南市精品咖啡評鑑批次,金讚咖啡農莊園(Jinzan Coffee Estate),Taiwan Coffee Laboratory,668,2022,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10,10,10,8,0,green,0
Ethiopia,Eshetu farm,Washed Limmu,Lata Agri export,Alo Coffee,1950,2021 / 2022,Washed / Wet,7.67,7.83,7.83,8,8,8,10,10,10,8,0,green,3
Ethiopia,Uraga Bisrat washing station,0065,dry mill,TADESSE DESTA IMPORT & EXPORT,2150 - 2350,2021 / 2022,Natural / Dry,8,8.08,8,8,7.67,7.75,10,10,10,7.83,0,yellow green,4
Ethiopia,YHAENU PLC FARM,1,GUJI COFFEE EXPORT P.L.C,yhaenu plc,1700,2021 / 2022,Washed / Wet,7.92,7.75,7.83,8.17,8,7.75,10,10,10,7.83,0,greenish,1
Taiwan,卓武山咖啡農場,"The 2022 Pacific Rim Coffee Summit, T004",卓武山咖啡農場,Taiwan Coffee Laboratory,1200,2021 / 2022,Washed / Wet,8,7.92,7.83,7.92,7.83,7.83,10,10,10,7.92,0,bluish-green,0
Taiwan,御香咖啡園 YU SIANG Coffee Estate,2022臺南市精品咖啡評鑑批次,御香咖啡園 YU SIANG Coffee Estate,Taiwan Coffee Laboratory,650,2022,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10,10,10,7.92,0,green,0
Kenya,Small Holder,5516,NKG,IBERO (K) LTD,1600-1900,2022 / 2023,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8,10,10,10,8,0,greenish,1
Taiwan,皇庭咖啡莊園,202203,yes,宸嶧國際有限公司,850,2017 / 2018,Washed / Wet,7.75,7.92,7.75,8,7.83,7.92,10,10,10,8,0,bluish-green,0
Taiwan,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,2022/01,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,Taiwan Coffee Laboratory,300-500,2022,Natural / Dry,8,7.92,7.83,7.92,7.75,7.75,10,10,10,7.92,0,brownish,0
Taiwan,八一高地,屏東縣三地門鄉德文段,乾燥機、脫殼機,茂泰生技股份有限公司,1000,2021 / 2022,Washed / Wet,8,8.08,7.67,7.75,7.92,7.83,10,10,10,7.83,0,greenish,0
Taiwan,香夾蘭莊園,A26-Northern Taiwan Specialty Coffee Evaluation,香夾蘭莊園,Taiwu Coffee Cooperative,800,2021 / 2022,Washed / Wet,8,7.92,7.67,8,7.75,7.83,10,10,10,7.92,0,pale yellow,5
Uganda,Gideon Kule,7938,Dry Mill,Kyagalanyi Coffee Limited,1905,2021 / 2022,Washed / Wet,8,7.92,7.75,7.75,7.75,7.92,10,10,10,7.92,0,green,1
Taiwan,愛姬咖啡莊園iGfarm,2021/01,愛姬咖啡莊園iGfarm,Taiwan Coffee Laboratory,150,2021 / 2022,NA,7.92,8,7.92,8,7.58,7.75,10,10,10,7.83,0,green,0
Taiwan,青山坪咖啡農場,"The 2022 Pacific Rim Coffee Summit,T011",青山坪咖啡農場,Taiwan Coffee Laboratory,800,2021 / 2022,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10,10,10,7.83,0,yellow green,0
Guatemala,varias fincas,11/15/118,Beneficio Pastores,"Peter Schoenfeld, S.A.",1600,2022 / 2023,Washed / Wet,7.67,8.08,7.67,8,7.92,7.83,10,10,10,7.83,0,green,1
Guatemala,PEÑA BLANCA,11/951/279,BENEFICIO LAS AMERICAS,"OLAM AGRO GUATEMALA, S.A.",4700,2022 / 2023,Washed / Wet,7.67,8,7.75,7.92,8,7.83,10,10,10,7.83,0,green,4
Guatemala,san francisco cotzal,11/441/50,"inmobiliaria e inversiones dos mil, s.a.","inmobiliaria e inversiones dos mil, s.a.",1600,2021 / 2022,Washed / Wet,7.83,7.92,7.75,8,7.75,7.75,10,10,10,7.92,0,green,1
Taiwan,六曲窩,A03-Northern Taiwan Specialty Coffee Evaluation,六曲窩,Taiwu Coffee Cooperative,350-400,2021 / 2022,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10,10,10,7.83,0,green,2
Taiwan,北平山林,A23-Northern Taiwan Specialty Coffee Evaluation,北平山林,Taiwu Coffee Cooperative,230,2021 / 2022,Natural / Dry,8,8,7.75,7.75,7.67,7.75,10,10,10,7.92,0,brownish,0
Indonesia,PT Indo CafCo North Sumatera,016/1513/262,PT Indo CafCo,InterAmerican Coffee,1200,2022,NA,7.83,7.92,7.75,7.83,7.83,7.83,10,10,10,7.83,0,bluish-green,2
Peru,Ruya Yayu Farm,"The 2022 Pacific Rim Coffee Summit,PE02",no.,Taiwan Coffee Laboratory,1750,2022,Washed / Wet,8,8,7.83,7.83,7.58,7.83,10,10,10,7.75,0,greenish,0
"Tanzania, United Republic Of",IYENGA,S59588/P03989,CITY COFFEE LTD,VOLCAFE/TaylorWinch Tanzania Ltd,1654,2022 / 2023,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10,10,10,7.83,0,greenish,0
Taiwan,優遊吧斯瑪翡咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T029",優遊吧斯瑪翡咖啡莊園,Taiwan Coffee Laboratory,1300,2021 / 2022,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8,10,10,10,8,0,greenish,0
Taiwan,森悅高峰咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T039",森悅高峰咖啡莊園,Taiwan Coffee Laboratory,1400,2021 / 2022,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10,10,10,7.83,0,green,0
Brazil,Fazenda Guariroba,FBT111,Wet-Hulling,Mirai Seeds Corp.,1100,2022,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10,10,10,7.83,0,green,5
Panama,La Santa,2-237-05,La Santa,Panamerican Coffee Trading,1200,2022 / 2023,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10,10,10,7.83,0,bluish-green,5
Taiwan,嵐雲綠海咖啡,屏東縣瑪家鄉,乾燥機、脫殼機,茂泰生技股份有限公司,1200,2021 / 2022,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10,10,10,7.75,0,blue-green,0
Guatemala,Varias Fincas,11/15/117,Varios Beneficios,"Peter Schoenfeld, S.A.",1600,2022 / 2023,Washed / Wet,7.67,8,7.67,7.83,7.92,7.67,10,10,10,7.92,0,green,1
Guatemala,SAN RAFAEL URIAS VALDES,11/54876/03,ECO COFFEE,"VALBROS, S. A.",4895,2021 / 2022,Natural / Dry,7.83,8,7.67,7.83,7.75,7.75,10,10,10,7.83,0,yellow-green,2
Costa Rica,Gamboa Farm,12075,Beneficio Montañas del Diamante,CECA S.A.,1850,2022 / 2023,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10,10,10,8.58,0,green,2
Taiwan,羅馬8號莊園,A11-Northern Taiwan Specialty Coffee Evaluation,羅馬8號莊園,Taiwu Coffee Cooperative,200-300,2021 / 2022,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0,greenish,0
Taiwan,大鋤花間(Dachu Coffee Estate),2022臺南市精品咖啡評鑑批次,大鋤花間(Dachu Coffee Estate),Taiwan Coffee Laboratory,700,2022,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10,10,10,7.75,0,green,0
Nicaragua,Finca Las Dos Marias,10 1.1,"Compare Coperativo Condega, Esteli, Nicaragua",NicaNoLA Coffee,1350,2021 / 2022,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10,10,10,8,1,green,2
Taiwan,雅慕伊咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T036",雅慕伊咖啡莊園,Taiwan Coffee Laboratory,1250,2021 / 2022,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10,10,10,7.92,0,green,2
Taiwan,名陽園,"The 2022 Pacific Rim Coffee Summit,T042",名陽園,Taiwan Coffee Laboratory,1450,2021 / 2022,Natural / Dry,7.83,8,7.67,7.75,7.67,7.75,10,10,10,7.92,0,green,0
Vietnam,CupnCare,"The 2022 Pacific Rim Coffee Summit,VN02",CupnCare,Taiwan Coffee Laboratory,650,2021 / 2022,Natural / Dry,8,7.83,7.75,7.67,7.58,7.83,10,10,10,7.92,0,brownish,0
Costa Rica,La Cumbre,CQU2022018,La Montana Tarrazu MIll,Coffee Quality Union,1900,2022,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10,10,10,7.92,0,green,0
Taiwan,苗55咖啡莊園,A37-Northern Taiwan Specialty Coffee Evaluation,苗55咖啡莊園,Taiwu Coffee Cooperative,520,2021 / 2022,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10,10,10,7.75,0,bluish-green,0
Honduras,La Cuchilla,36,Global Coffee,Mercon Honduras,1368,2022 / 2023,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0,green,3
Ethiopia,TRACON TRADING PLC,0712,5.2Ha,Tracon Trading PLC,1943,2021 / 2022,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10,10,10,7.83,0,green,9
Taiwan,917農場 (917 Farm),2021/11,917農場 (917 Farm),Taiwan Coffee Laboratory,400,2021 / 2022,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10,10,10,7.83,0,green,0
Taiwan,皇庭咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T031",皇庭咖啡莊園,Taiwan Coffee Laboratory,850,2021 / 2022,Washed / Wet,7.83,8,7.5,7.75,7.75,7.75,10,10,10,7.83,0,bluish-green,1
Guatemala,Finca Alta Luz,11-63-657,NA,"Retrillas del pacifico, s.a.",1300-1400,2022 / 2023,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10,10,10,7.75,0,green,5
United States (Hawaii),Miranda's Farm,Islander’s Coffee for Pacific Rim Summit,Greenwell,Taiwan Coffee Laboratory,1300,2022,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10,10,10,7.75,3,yellow-green,7
Ethiopia,Bisrat Melaku Washing Station,0065,Washing Station,Tadesse Desta import export,2361,2021 / 2022,Natural / Dry,7.83,7.75,7.58,7.92,8,7.5,10,10,10,7.75,0,yellow green,4
El Salvador,San Nicolas,"The 2022 Pacific Rim Coffee Summit,SV01",San Nicolas,Taiwan Coffee Laboratory,1500,2021,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10,10,10,7.67,0,brownish,4
Colombia,Asociacion Tayronaca,NPCO-17418,Trilladora Santa Tirsa,Sucafina NA,2100,2021 / 2022,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10,10,10,7.83,0,green,1
Indonesia,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",CQU2022018,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",Coffee Quality Union,1250-1350,2022,Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10,10,10,7.83,0,blue-green,1
Guatemala,San jose del lago,11/15/96,San jose del lago,"Peter Schoenfeld, S.A.",1600,2022 / 2023,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10,10,10,7.75,0,green,1
Madagascar,Mandroso,1,On the farm (mechanical huller and polisher / sorting by hand),Vao Vao Sarl,1500,2022,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10,10,10,7.83,0,blue-green,0
Honduras,La Cuchilla,8,Global Coffee,Mercon Honduras,1368,2022 / 2023,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10,10,10,7.75,0,green,2
Guatemala,san francisco cotzal,11/441/49,"inmobiliaria e inversiones dos mil, s.a.","inmobiliaria e inversiones dos mil, s.a.",1600,2021 / 2022,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10,10,10,7.75,0,green,2
Taiwan,竹崙子莊園,A32-Northern Taiwan Specialty Coffee Evaluation,竹崙子莊園,Taiwu Coffee Cooperative,150,2021 / 2022,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10,10,10,7.67,0,greenish,2
Taiwan,元富咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T017",元富咖啡莊園,Taiwan Coffee Laboratory,800,2021 / 2022,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8,9.33,10,10,7.92,0,yello-green,0
Guatemala,varias fincas,11/15/51,El Trèbol/Lìnea Gourmet,"Peter Schoenfeld, S.A.",1500-1600,2022 / 2023,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10,10,10,7.67,0,green,2
Guatemala,varias fincas,11/15/59,El Trebol/Linea Gourmet,"Peter Schoenfeld, S.A.",1500-1600,2022 / 2023,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10,10,10,7.75,0,green,2
Honduras,finca de la casa,"The 2022 Pacific Rim Coffee Summit,HN04",De la casa,Taiwan Coffee Laboratory,1800,2021 / 2022,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10,10,10,7.67,0,green,0
"Tanzania, United Republic Of",KONGONI ESTATE,CN 4127230031/P-9139,RAFIKI MILL,C.DORMAN SEZ LTD,1600-1750,2022 / 2023,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10,10,10,7.75,0,greenish,3
Ethiopia,Ecom Agroindustrial,1077,Beneficio humedo,Descafeinadores Mexicano SA. de CV,1800,2021 / 2022,Washed / Wet,8,7.75,7.5,7.67,7.67,7.67,10,10,10,7.75,1,green,1
"Tanzania, United Republic Of",MASHIMA AMCOS,CN 4127220159/4189220459,GOURMET COFFEE MILL,DORMAN (T) LTD,1400-1700,2022 / 2023,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10,10,10,7.75,0,greenish,2
Colombia,COO,3-002-00883,Laumayer Armenia,InterAmerican Coffee,1400-1700,2022,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10,10,10,7.67,0,green,3
Costa Rica,Gamboa Farm,12077-01,Beneficio Montañas del Diamante,CECA S.A.,1850,2022 / 2023,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10,10,10,7.75,0,green,2
Guatemala,El Morito,"The 2022 Pacific Rim Coffee Summit,GT01",Sube,Taiwan Coffee Laboratory,1900,2021,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10,10,10,7.75,0,greenish,0
Guatemala,San jose del lago,11/15/95,San jose del lago,"Peter Schoenfeld, S.A.",1600,2022 / 2023,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10,10,10,7.75,0,green,2
Thailand,Baan San Charoen,CQU2022016,Baan San Charoen,Coffee Quality Union,1300-1400,2022,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10,10,10,7.75,0,yellowish,3
Colombia,NA,3/37/1370,"Racafé & CIA S.C.A, Km 5 Vía Pereira",Marubeni Corporation,1411,2022 / 2023,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,green,1
Guatemala,FINCA ALTA LUZ,11/63/908,NA,"RETRILLAS DEL PACIFICO, S. A.",1400,2021 / 2022,Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10,10,10,7.75,0,green,4
Guatemala,SAN RAFAEL URIAS VALDES,AMNI-22-0905,"BENEFICIO SANTA RITA, S. A.",Asociación Nacional del Cafe,4895 A 5650,2021 / 2022,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10,10,10,7.75,0,greenish,4
Ethiopia,Gerbicho Lela Cooperative,1,Sidama Coffee Farmers Cooperative Union,Taylor Winch Coffee Ltd,2000,2021 / 2022,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10,10,10,7.75,0,green,12
Colombia,N / A,3-0068-00886,Trilladora Popayán,ECOM COLOMBIA,1700,2022 / 2023,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,2,green,5
United States (Hawaii),various farms,"The 2022 Pacific Rim Coffee Summit,US02",Aloha Hills Kona Coffee,Taiwan Coffee Laboratory,400-600,2022,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10,10,10,7.75,0,green,3
Colombia,La Gallera,"The 2022 Pacific Rim Coffee Summit,CO02",La Gallera,Taiwan Coffee Laboratory,1800,2022,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10,10,10,7.58,0,greenish,1
Mexico,Finca Custepec,312,exportadora de cafe california,Exportadora Café California,1200,2022 / 2023,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10,10,10,7.75,4,green,12
Colombia,NA,NA,NA,Coffee Quality Institute,NA,2022,NA,7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,1,greenish,9
Taiwan,永舜咖啡莊園,202203,yes,Yongshun,1250,2022,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,0,bluish-green,0
Myanmar,Aromatic,"The 2022 Pacific Rim Coffee Summit,MM01",Aromatic,Taiwan Coffee Laboratory,1400,2022,Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10,10,10,7.58,0,pale yellow,1
Taiwan,恆珊農場,A05-Northern Taiwan Specialty Coffee Evaluation,恆珊農場,Taiwu Coffee Cooperative,200-400,2021 / 2022,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10,10,10,7.67,0,greenish,0
Honduras,Maria Bonita,"The 2022 Pacific Rim Coffee Summit,HN01","Cafe Organic Marcala, S.A. (COMSA)",Taiwan Coffee Laboratory,1470,2021,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.67,0,pale yellow,1
Taiwan,正源咖啡,A30-Northern Taiwan Specialty Coffee Evaluation,正源咖啡,Taiwu Coffee Cooperative,250-400,2021 / 2022,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10,10,10,7.67,0,green,0
Taiwan,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,A14-Northern Taiwan Specialty Coffee Evaluation,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,Taiwu Coffee Cooperative,250-300,2021 / 2022,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10,10,10,7.67,0,green,0
Guatemala,SAN FRANCISCO COTZAL,P-4142,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",Asociación Nacional del Cafe,1600,2021 / 2022,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10,10,10,7.75,0,green,4
Honduras,varias,AMNI-22-6011-1,Beneficio seco,Cafe Organico Marcala S.A de C.V.,1400,2021 / 2022,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,0,green,5
Colombia,La fortaleza,3-0104-00202 Popayán Supremo,Trilladora Pubenza,Cafe Colsuaves,1700,2022,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,0,bluish-green,2
Thailand,Doi Tung Development Project,BOURBON 21/22 (Coffea Arabica),Dry Mill,Doi Tung Development Project,1200 - 1580,2022,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10,10,10,7.58,0,green,0
Ethiopia,YHAENU PLC FARM,1,GUJI COFFEE EXPORT P.L.C,yhaenu plc,1700,2021 / 2022,Washed / Wet,7.42,7.42,7.42,8,7.92,7.67,10,10,10,7.67,0,greenish,11
Thailand,Doi Nan,CQU2022011,Doi Nan,Coffee Quality Union,1450,2022,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10,10,10,7.67,0,green,0
Uganda,Bugisu Shamba,035/170/5021210,Kawacom,Kawacom uganda LTD,1400 - 1900,2021 / 2022,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0,green,3
